id : is_correct $ ans $ correct_ans | corrected_ans $ round
9 : True $ 576 $ 576 | 576 $ 2 $ (from previous run)
10 : True $ \dfrac{485}{486} $ \frac{485}{486} | \dfrac{485}{486} $ 3 $ (from previous run)
11 : True $ 29 $ 29 | 29 $ 2 $ (from previous run)
12 : True $ 283 $ 283 | same $ 2 $
13 : True $ 990 $ 990 | same $ 2.5 $
14 : True $ 615 $ 615 | same $ 2.5 $
15 : False $ None $ 435 | same $ 5 $
16 : True $ 10 $ 10 | same $ 2 $
17 : False $ 2 $ 342 | same $ 2 $
18 : True $ 4 $ 4 | same $ 2.5 $
19 : True $ 176 $ 176 | same $ 2 $
20 : True $ 905 $ 905 | same $ 2.5 $
21 : True $ \dfrac{319}{324} $ \dfrac{319}{324} | same $ 3.0 $
22 : True $ 8.5 $ 8.5 | same $ 2.5 $
23 : False $ 832 $ 850 | same $ 2 $
24 : True $ 901 $ 901 | same $ 2 $
Counting & Probability Accuracy: 20/25 = 0.8
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ x^2 + x - 2 $ x^2 + x - 2 | same $ 2 $
1 : True $ \dfrac{16 \sqrt{3}}{9} $ \frac{16 \sqrt{3}}{9} | same $ 2 $
2 : False $ None $ 2 \sqrt{5} | same $ 5 $
id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 22 $ 22 | 22 $ 2 $ (from previous run)
1 : True $ 1 $ 1 | 1 $ 2 $ (from previous run)
2 : True $ 11 $ 11 | 11 $ 2 $ (from previous run)
3 : True $ -\frac{5}{2} $ -\frac{5}{2} | -\frac{5}{2} $ 2 $ (from previous run)
4 : True $ (-2, -6) $ (-2,-6) | (-2, -6) $ 2 $ (from previous run)
5 : True $ (7, 6) $ (7,6) | (7, 6) $ 2 $ (from previous run)
6 : True $ \dfrac{15\sqrt{7}}{14} $ \frac{15\sqrt{7}}{14} | \dfrac{15\sqrt{7}}{14} $ 2 $ (from previous run)
7 : True $ \frac{5}{3} $ \frac53 | \frac{5}{3} $ 2 $ (from previous run)
8 : True $ \dfrac{116050}{59049} $ \frac{116050}{59049} | \dfrac{116050}{59049} $ 2 $ (from previous run)
9 : True $ \dfrac{\sqrt[3]{4}}{6} $ \frac{\sqrt[3]{4}}{6} | \dfrac{\sqrt[3]{4}}{6} $ 2 $ (from previous run)
10 : True $ 36 $ 36 | 36 $ 2 $ (from previous run)
11 : False $ None $ \frac{1}{3} | None $ 5 $ (from previous run)
12 : False $ 112,485 $ 112,\!875 | 112,485 $ 2 $ (from previous run)
13 : True $ 8 $ 8 | 8 $ 2 $ (from previous run)
14 : True $ 16 $ 16 | 16 $ 2 $ (from previous run)
15 : True $ 236 $ 236 | 236 $ 2 $ (from previous run)
16 : False $ None $ \frac{225}{16} | None $ 5 $ (from previous run)
17 : True $ 7 $ 7 | 7 $ 2 $ (from previous run)
18 : True $ (1, -2) $ (1,-2) | (1, -2) $ 2 $ (from previous run)
19 : True $ 6 $ 6 | 6 $ 4 $ (from previous run)
20 : True $ 7 $ 7 | 7 $ 2 $ (from previous run)
21 : True $ 12 $ 12 | 12 $ 2 $ (from previous run)
22 : True $ 4 $ 4 | 4 $ 3 $ (from previous run)
23 : True $ 115,000 $ \$115,000 | 115,000 $ 2 $ (from previous run)
24 : True $ (0, 1] $ (0,1] | (0, 1] $ 2 $ (from previous run)
Algebra Accuracy: 22/25 = 0.88
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 351 $ 351 | 351 $ 3 $ (from previous run)
1 : True $ \dfrac{40}{243} $ \frac{40}{243} | \dfrac{40}{243} $ 5 $ (from previous run)
2 : True $ 34 $ 34 | 34 $ 2 $ (from previous run)
3 : False $ None $ \frac{6}{4165} | None $ 5 $ (from previous run)
4 : True $ \dfrac{5}{8} $ \frac{5}{8} | \dfrac{5}{8} $ 5 $ (from previous run)
5 : True $ 200 $ 200 | 200 $ 2 $ (from previous run)
6 : False $ None $ \dfrac{193}{512} | None $ 5 $ (from previous run)
7 : True $ \dfrac{1}{7} $ \frac{1}{7} | \dfrac{1}{7} $ 2 $ (from previous run)
8 : True $ 5 $ 5 | 5 $ 3 $ (from previous run)
9 : True $ 576 $ 576 | 576 $ 2 $ (from previous run)
10 : True $ \dfrac{485}{486} $ \frac{485}{486} | \dfrac{485}{486} $ 3 $ (from previous run)
11 : True $ 29 $ 29 | 29 $ 2 $ (from previous run)
12 : True $ 283 $ 283 | 283 $ 2 $ (from previous run)
13 : True $ 990 $ 990 | 990 $ 2.5 $ (from previous run)
14 : True $ 615 $ 615 | 615 $ 2.5 $ (from previous run)
15 : False $ None $ 435 | None $ 5 $ (from previous run)
16 : True $ 10 $ 10 | 10 $ 2 $ (from previous run)
17 : False $ 2 $ 342 | 2 $ 2 $ (from previous run)
18 : True $ 4 $ 4 | 4 $ 2.5 $ (from previous run)
19 : True $ 176 $ 176 | 176 $ 2 $ (from previous run)
20 : True $ 905 $ 905 | 905 $ 2.5 $ (from previous run)
21 : True $ \dfrac{319}{324} $ \dfrac{319}{324} | \dfrac{319}{324} $ 3.0 $ (from previous run)
22 : True $ 8.5 $ 8.5 | 8.5 $ 2.5 $ (from previous run)
23 : False $ 832 $ 850 | 832 $ 2 $ (from previous run)
24 : True $ 901 $ 901 | 901 $ 2 $ (from previous run)
Counting & Probability Accuracy: 20/25 = 0.8
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ x^2 + x - 2 $ x^2 + x - 2 | x^2 + x - 2 $ 2 $ (from previous run)
1 : True $ \dfrac{16 \sqrt{3}}{9} $ \frac{16 \sqrt{3}}{9} | \dfrac{16 \sqrt{3}}{9} $ 2 $ (from previous run)
2 : False $ None $ 2 \sqrt{5} | None $ 5 $ (from previous run)
3 : True $ -\frac{3}{2} $ -\frac{3}{2} | same $ 2.5 $
4 : True $ \dfrac{1024}{27} $ \frac{1024}{27} | same $ 2 $
5 : True $ -\sqrt{14} $ -\sqrt{14} | same $ 4.5 $
6 : True $ 4 $ 4 | same $ 5.0 $
7 : False $ -148 $ -50 | same $ 3 $
8 : False $ \sqrt{3} $ \frac{8}{5} | same $ 2 $
9 : True $ 820 $ 820 | same $ 2.5 $
10 : False $ None $ 90 | same $ 5 $
11 : False $ 2\sqrt{2} + 2 $ [2 \sqrt{2},4] | same $ 3.5 $
12 : True $ \dfrac{255}{4} $ \frac{255}{4} | same $ 2 $
13 : False $ None $ \frac{1777}{1492} | same $ 5 $
14 : True $ -23 $ -23 | same $ 2 $
15 : True $ \dfrac{80}{9}\pi $ \frac{80}{9}\pi | same $ 2 $
16 : True $ \dfrac{11}{65} $ \frac{11}{65} | same $ 3.0 $
17 : True $ 81 $ 81 | same $ 3.0 $
18 : True $ \sqrt{2} $ \sqrt{2} | same $ 2 $
19 : False $ -2003 + 2004\sqrt{2} $ 2004 \sqrt{2} - 2003 | same $ 2.5 $
20 : True $ \dfrac{12}{13} $ \frac{12}{13} | same $ 2 $
21 : True $ 49896 $ 49896 | same $ 2 $
22 : True $ 1 + \sqrt{2006} $ 1 +\sqrt{2006} | same $ 2 $
23 : True $ -9 $ -9 | same $ 2 $
24 : True $ 3 + 6\sqrt{2} $ 3 + 6 \sqrt{2} | same $ 2 $
Intermediate Algebra Accuracy: 18/25 = 0.72
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 413 $ 413 | same $ 2.5 $
1 : True $ 7 $ 7 | same $ 2 $
2 : True $ 7 $ 7 | same $ 2 $
3 : False $ None $ 243 | same $ 5 $
4 : True $ 38 $ 38 | same $ 2 $
5 : True $ 10 $ 10 | same $ 2 $
6 : False $ 60 $ 72 | same $ 3.0 $
7 : True $ 75 $ 75 | same $ 2 $
8 : True $ 8 $ 8 | same $ 2 $
9 : True $ 10 $ 10 | same $ 2 $
10 : False $ None $ 0 | same $ 5 $
11 : True $ 247 $ 247 | same $ 2 $
12 : True $ 32 $ 32 | same $ 2 $
13 : True $ 496 $ 496 | same $ 2 $
14 : True $ 22 $ 22 | same $ 2 $
15 : True $ 5 $ 5 | same $ 2.5 $
16 : True $ 6 $ 6 | same $ 2.5 $
17 : False $ None $ 216 | same $ 5 $
18 : True $ 12,\!000,\!085 $ 12,\!000,\!085 | same $ 2 $
19 : False $ None $ 29 | same $ 5 $
20 : True $ 40 $ 40 | same $ 2 $
21 : True $ 20 $ 20 | same $ 4.0 $
22 : True $ 50 $ 50 | same $ 2 $
23 : True $ 342 $ 342 | same $ 2 $
24 : True $ 2 $ 2 | same $ 2.5 $
Number Theory Accuracy: 20/25 = 0.8
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 100 $ 100 | same $ 2 $
1 : True $ 298 $ 298 | same $ 2 $
2 : True $ 25 $ 25 | same $ 3.0 $
3 : True $ 40 $ 40 | same $ 2 $
4 : True $ 5 $ 5 | same $ 2 $
5 : False $ None $ 52 | same $ 5 $
6 : True $ 53 $ 53 | same $ 3.0 $
7 : True $ 14\sqrt{15} $ 14\sqrt{15} | same $ 2 $
8 : True $ 7 $ 7 | same $ 2 $
9 : True $ \dfrac{5}{8} $ \frac{5}{8} | same $ 2 $
10 : False $ 36.00 $ \$36 | same $ 2 $
11 : True $ 30 $ 30 | same $ 2 $
12 : True $ 12 $ 12 | same $ 2.5 $
13 : False $ 9,604 $ 9604 | same $ 3 $
14 : True $ 4\sqrt{30} $ 4\sqrt{30} | same $ 2 $
15 : False $ 2 $ 4 | same $ 2 $
16 : False $ 14 $ 38 | same $ 2.5 $
17 : False $ \dfrac{1}{11} $ \frac{6}{11} | same $ 2 $
18 : False $ \sqrt{689} $ 17 | same $ 2.5 $
19 : True $ 55 $ 55 | same $ 2 $
20 : True $ 60 $ 60 | same $ 2 $
21 : True $ 8 $ 8 | same $ 5.0 $
22 : True $ 18 $ 18 | same $ 2 $
23 : True $ \dfrac{6\sqrt{10}}{7} $ \frac{6\sqrt{10}}{7} | same $ 2 $
24 : True $ 2009 $ 2009 | same $ 4.5 $
Prealgebra Accuracy: 18/25 = 0.72
------------------------------------------------------------

id : is_correct $ ans $ correct_ans | corrected_ans $ round
0 : True $ 4 $ 4 | same $ 2 $
1 : False $ None $ \left( -\frac{5}{3}, \frac{2}{3}, \frac{19}{3} \right) | same $ 5 $
2 : False $ \sqrt{\frac{5 - \sqrt{10}}{20}} \text{ and } -\sqrt{\frac{5 - \sqrt{10}}{20}} $ \frac{\sqrt{21}}{14} | same $ 2 $
3 : True $ \sqrt{x^2 - 1} $ \sqrt{x^2 - 1} | same $ 2 $
4 : True $ \dfrac{4}{3} $ \frac{4}{3} | same $ 2 $
5 : False $ 4 $ 2,4 | same $ 2 $
6 : False $ 3 - 2\sqrt{2} $ 3 \pm 2 \sqrt{2} | same $ 2 $
7 : True $ (3, -2, 2) $ (3,-2,2) | same $ 2 $
8 : False $ None $ 3^{2007} | same $ 5 $
9 : True $ \dfrac{9}{10} $ \frac{9}{10} | same $ 2 $
10 : False $ 301 $ 300 | same $ 2 $
11 : True $ \dfrac{3}{2} $ \frac{3}{2} | same $ 2 $
12 : True $ \dfrac{6}{7} $ \frac{6}{7} | same $ 2.5 $
13 : True $ \dfrac{7}{2} $ \frac{7}{2} | same $ 2 $
14 : True $ \dfrac{\sqrt{35}}{3} $ \frac{\sqrt{35}}{3} | same $ 2.5 $
15 : True $ \dfrac{63}{128} $ \frac{63}{128} | same $ 2 $
16 : False $ \dfrac{76\pi}{9} $ 8 \pi | same $ 2 $
17 : True $ 412 $ 412 | same $ 2 $
18 : True $ \dfrac{1 + \sqrt{5}}{2} $ \frac{1 + \sqrt{5}}{2} | same $ 2 $
19 : True $ 30 $ 30^\circ | same $ 2 $
20 : True $ \begin{pmatrix} \frac{5}{6} & \frac{1}{3} & -\frac{1}{6} \\ \frac{1}{3} & \frac{1}{3} & \frac{1}{3} \\ -\frac{1}{6} & \frac{1}{3} & \frac{5}{6} \end{pmatrix} $ \begin{pmatrix} \frac{5}{6} & \frac{1}{3} & -\frac{1}{6} \\ \frac{1}{3} & \frac{1}{3} & \frac{1}{3} \\ -\frac{1}{6} & \frac{1}{3} & \frac{5}{6} \end{pmatrix} | same $ 5 $
21 : False $ \begin{pmatrix} \dfrac{4}{5} \\ \dfrac{3}{5} \end{pmatrix} $ \begin{pmatrix} 4/5 \\ 3/5 \end{pmatrix} | same $ 2.5 $
22 : False $ None $ \frac{9}{2} | same $ 5 $
23 : False $ 11 $ 12 | same $ 2 $
24 : True $ 100 $ 100 | same $ 2 $
Precalculus Accuracy: 15/25 = 0.6
------------------------------------------------------------

****************************





